DEGREE,SCORE_PA,PERCEPTION,PA1,R_PA1,PA2,R_PA2,PA3,R_PA3,PA4,R_PA4,PA5,R_PA5,PA6,R_PA6,PA7,R_PA7,PA8,R_PA8,PA9,R_PA9,PA10,R_PA10,SCORE_PB,VISUALIZATION,PB1,R_PB1,PB2,R_PB2,PB3,R_PB3,PB4,R_PB4,PB5,R_PB5,PB6,R_PB6,PB7,R_PB7,PB8,R_PB8,PB9,R_PB9,PB10,R_PB10
AMSE,7,7.43,A,Fallo,C,Fallo,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,C,Acierto,A,Acierto,C,Fallo,7,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,A,Fallo,C,Acierto,A,Acierto,C,Fallo
TE,6,4,C,Acierto,C,Fallo,C,Fallo,D,Acierto,B,Fallo,D,Acierto,B,Acierto,A,Fallo,A,Acierto,D,Acierto,9,VR,C,Acierto,C,Fallo,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto
AMSE,4,6,A,Fallo,A,Fallo,C,Fallo,C,Fallo,B,Fallo,D,Acierto,B,Acierto,C,Acierto,C,Fallo,D,Acierto,5,Slides,C,Acierto,B,Acierto,C,Fallo,C,Fallo,C,Fallo,C,Fallo,B,Acierto,C,Acierto,D,Fallo,D,Acierto
AMSE,5,6.57,B,Fallo,C,Fallo,A,Acierto,D,Acierto,D,Fallo,C,Fallo,B,Acierto,D,Fallo,A,Acierto,D,Acierto,4,VR,A,Fallo,C,Fallo,B,Fallo,D,Acierto,A,Acierto,C,Fallo,B,Acierto,C,Acierto,B,Fallo,B,Fallo
TE,10,8.29,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto,9,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,C,Acierto,B,Fallo,D,Acierto
TE,4,6.86,A,Fallo,A,Fallo,C,Fallo,C,Fallo,A,Acierto,D,Acierto,B,Acierto,D,Fallo,A,Acierto,B,Fallo,5,Slides,A,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,D,Fallo,A,Acierto,B,Fallo
AMSE,3,6.29,A,Fallo,A,Fallo,B,Fallo,D,Acierto,C,Fallo,C,Fallo,C,Fallo,,Fallo,A,Acierto,D,Acierto,3,Slides,C,Acierto,A,Fallo,A,Acierto,C,Fallo,D,Fallo,C,Fallo,C,Fallo,,Fallo,,Fallo,D,Acierto
TE,3,4.57,,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Acierto,,Fallo,D,Fallo,,Fallo,,Fallo,D,Acierto,2,Slides,C,Acierto,A,Fallo,B,Fallo,C,Fallo,A,Acierto,C,Fallo,,Fallo,,Fallo,,Fallo,,Fallo
TE,2,5.14,A,Fallo,C,Fallo,A,Acierto,C,Fallo,,Fallo,C,Fallo,C,Fallo,C,Acierto,B,Fallo,C,Fallo,4,VR,C,Acierto,C,Fallo,,Fallo,D,Acierto,C,Fallo,C,Fallo,B,Acierto,C,Acierto,B,Fallo,,Fallo
TE,2,6.57,,Fallo,,Fallo,,Fallo,C,Fallo,C,Fallo,D,Acierto,A,Fallo,A,Fallo,B,Fallo,D,Acierto,2,VR,,Fallo,C,Fallo,B,Fallo,C,Fallo,C,Fallo,D,Acierto,A,Fallo,A,Fallo,B,Fallo,D,Acierto
AMSE,2,6.29,B,Fallo,,Fallo,,Fallo,B,Fallo,C,Fallo,C,Fallo,B,Acierto,B,Fallo,B,Fallo,D,Acierto,7,VR,B,Fallo,A,Fallo,A,Acierto,D,Acierto,A,Acierto,D,Acierto,D,Fallo,C,Acierto,A,Acierto,D,Acierto
TE,6,6.86,A,Fallo,A,Fallo,A,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Acierto,B,Fallo,A,Acierto,D,Acierto,9,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,,Fallo,C,Acierto,A,Acierto,D,Acierto
AMSE,5,8,B,Fallo,A,Fallo,A,Acierto,C,Fallo,C,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,B,Fallo,5,VR,C,Acierto,B,Acierto,A,Acierto,C,Fallo,C,Fallo,D,Acierto,A,Fallo,C,Acierto,B,Fallo,B,Fallo
TE,1,5.43,,Fallo,B,Acierto,D,Fallo,C,Fallo,C,Fallo,,Fallo,,Fallo,A,Fallo,,Fallo,,Fallo,5,Slides,C,Acierto,C,Fallo,C,Fallo,D,Acierto,C,Fallo,C,Fallo,A,Fallo,C,Acierto,A,Acierto,D,Acierto
TE,3,4.86,A,Fallo,C,Fallo,B,Fallo,C,Fallo,D,Fallo,D,Acierto,B,Acierto,C,Acierto,B,Fallo,B,Fallo,4,Slides,C,Acierto,C,Fallo,D,Fallo,D,Acierto,A,Acierto,C,Fallo,A,Fallo,C,Acierto,B,Fallo,B,Fallo
TE,5,7.14,C,Acierto,C,Fallo,A,Acierto,C,Fallo,C,Fallo,C,Fallo,B,Acierto,C,Acierto,B,Fallo,D,Acierto,6,Slides,C,Acierto,B,Acierto,A,Acierto,C,Fallo,A,Acierto,C,Fallo,B,Acierto,C,Acierto,B,Fallo,B,Fallo
TE,5,7.14,C,Acierto,B,Acierto,A,Acierto,C,Fallo,A,Acierto,D,Acierto,A,Fallo,D,Fallo,B,Fallo,C,Fallo,6,Slides,C,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Fallo,C,Fallo,B,Acierto,D,Fallo,A,Acierto,C,Fallo
TE,4,6.29,A,Fallo,C,Fallo,B,Fallo,B,Fallo,D,Fallo,D,Acierto,B,Acierto,C,Acierto,B,Fallo,D,Acierto,3,Slides,A,Fallo,C,Fallo,C,Fallo,C,Fallo,C,Fallo,,Fallo,B,Acierto,C,Acierto,B,Fallo,D,Acierto
TE,5,4.29,A,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Acierto,C,Fallo,B,Acierto,C,Acierto,B,Fallo,D,Acierto,6,Slides,A,Fallo,C,Fallo,B,Fallo,D,Acierto,B,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto
