DEGREE,SCORE_PA,PERCEPTION,PA1,R_PA1,PA2,R_PA2,PA3,R_PA3,PA4,R_PA4,PA5,R_PA5,PA6,R_PA6,PA7,R_PA7,PA8,R_PA8,PA9,R_PA9,PA10,R_PA10,SCORE_PB,VISUALIZATION,PB1,R_PB1,PB2,R_PB2,PB3,R_PB3,PB4,R_PB4,PB5,R_PB5,PB6,R_PB6,PB7,R_PB7,PB8,R_PB8,PB9,R_PB9,PB10,R_PB10
BE,7,7.33,C,Acierto,C,Fallo,C,Acierto,A,Acierto,A,Fallo,C,Acierto,B,Acierto,B,Fallo,D,Acierto,D,Acierto,7,Slides,C,Acierto,C,Fallo,C,Fallo,A,Acierto,D,Acierto,C,Acierto,B,Acierto,A,Fallo,D,Acierto,A,Acierto
BE,1,4.67,A,Fallo,C,Fallo,B,Fallo,A,Acierto,B,Fallo,B,Fallo,C,Fallo,B,Fallo,B,Fallo,B,Fallo,8,VR,A,Fallo,B,Acierto,B,Acierto,B,Fallo,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,A,Acierto
SRE,9,6,C,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,C,Fallo,10,VR,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,A,Acierto
BE,9,4,C,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto,B,Fallo,B,Acierto,D,Acierto,D,Acierto,D,Acierto,7,Slides,C,Acierto,B,Acierto,D,Fallo,B,Fallo,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,D,Fallo
BE,6,5.33,C,Acierto,C,Fallo,B,Fallo,A,Acierto,A,Fallo,C,Acierto,A,Fallo,D,Acierto,D,Acierto,D,Acierto,6,VR,C,Acierto,C,Fallo,D,Fallo,B,Fallo,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,D,Fallo
SRE,4,6,C,Acierto,C,Fallo,B,Fallo,A,Acierto,A,Fallo,C,Acierto,A,Fallo,B,Fallo,C,Fallo,D,Acierto,8,Slides,C,Acierto,C,Fallo,B,Acierto,B,Fallo,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,A,Acierto
SRE,7,7.33,C,Acierto,C,Fallo,B,Fallo,A,Acierto,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,B,Fallo,9,Slides,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,B,Fallo
SRE,8,9.33,D,Fallo,B,Acierto,C,Acierto,A,Acierto,D,Acierto,A,Fallo,B,Acierto,D,Acierto,D,Acierto,D,Acierto,9,Slides,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Fallo,B,Acierto,D,Acierto,D,Acierto,A,Acierto
SRE,6,7.33,C,Acierto,D,Fallo,B,Fallo,A,Acierto,A,Fallo,C,Acierto,B,Acierto,B,Fallo,D,Acierto,D,Acierto,7,VR,C,Acierto,C,Fallo,A,Fallo,A,Acierto,D,Acierto,C,Acierto,B,Acierto,B,Fallo,D,Acierto,A,Acierto
SRE,4,6.67,C,Acierto,A,Fallo,B,Fallo,A,Acierto,D,Acierto,A,Fallo,A,Fallo,B,Fallo,D,Acierto,B,Fallo,7,VR,C,Acierto,A,Fallo,B,Acierto,B,Fallo,D,Acierto,A,Fallo,B,Acierto,D,Acierto,D,Acierto,A,Acierto
